velocity_mps,snr_dB,cdf
3.0,21.155778894472363,0.9512
3.0,21.35678391959799,0.955
3.0,21.55778894472362,0.9576
3.0,21.758793969849247,0.9618
3.0,21.959798994974875,0.9646
3.0,22.160804020100507,0.9666
3.0,22.36180904522613,0.9688
3.0,22.562814070351763,0.9712
3.0,22.763819095477388,0.9732
3.0,22.96482412060302,0.9752
3.0,23.165829145728644,0.9768
3.0,23.366834170854275,0.9788
3.0,23.5678391959799,0.9806
3.0,23.76884422110553,0.9818
3.0,23.969849246231156,0.9822
3.0,24.170854271356788,0.9838
3.0,24.371859296482413,0.9856
3.0,24.572864321608044,0.9872
3.0,24.77386934673367,0.9878
3.0,24.9748743718593,0.9886
3.0,25.175879396984925,0.989
3.0,25.376884422110557,0.9896
3.0,25.57788944723618,0.9914
3.0,25.778894472361813,0.9924
3.0,25.979899497487438,0.9932
3.0,26.18090452261307,0.9938
3.0,26.381909547738694,0.9948
3.0,26.582914572864325,0.9954
3.0,26.78391959798995,0.9956
3.0,26.98492462311558,0.9958
3.0,27.185929648241206,0.9968
3.0,27.386934673366838,0.997
3.0,27.587939698492463,0.9974
3.0,27.788944723618094,0.9978
3.0,27.98994974874372,0.9982
3.0,28.19095477386935,0.9984
3.0,28.391959798994975,0.9984
3.0,28.592964824120607,0.9984
3.0,28.79396984924623,0.9984
3.0,28.994974874371863,0.9984
3.0,29.195979899497488,0.9986
3.0,29.39698492462312,0.999
3.0,29.597989949748744,0.9992
3.0,29.798994974874375,0.9994
3.0,30.0,0.9996
